as_of_date,region,covid_hosp,covid_icu,covid_intube,yearid,covid_hosp_pop,date_num,Date
2020-04-17T04:00:00Z,Long Island,3661,1110,927,2020,125.304,108,"4/17/20<br>Daily count: 3,661"
2020-04-17T04:00:00Z,Lower Hudson Valley,1753,510,437,2020,82.005,108,"4/17/20<br>Daily count: 1,753"
2020-04-18T04:00:00Z,New York City,10295,3006,2572,2020,116.933,109,"4/18/20<br>Daily count: 10,295"
2020-04-18T04:00:00Z,Long Island,3484,1079,906,2020,119.246,109,"4/18/20<br>Daily count: 3,484"
2020-04-18T04:00:00Z,Lower Hudson Valley,1704,471,432,2020,79.713,109,"4/18/20<br>Daily count: 1,704"
2020-04-19T04:00:00Z,New York City,10237,2950,2559,2020,116.274,110,"4/19/20<br>Daily count: 10,237"
2020-04-19T04:00:00Z,Long Island,3410,1060,900,2020,116.713,110,"4/19/20<br>Daily count: 3,410"
2020-04-19T04:00:00Z,Lower Hudson Valley,1721,488,427,2020,80.508,110,"4/19/20<br>Daily count: 1,721"
2020-04-20T04:00:00Z,New York City,10279,2915,2512,2020,116.751,111,"4/20/20<br>Daily count: 10,279"
2020-04-20T04:00:00Z,Long Island,3400,1022,833,2020,116.371,111,"4/20/20<br>Daily count: 3,400"
2020-04-20T04:00:00Z,Lower Hudson Valley,1683,484,417,2020,78.73,111,"4/20/20<br>Daily count: 1,683"
2020-04-21T04:00:00Z,New York City,9928,2897,2464,2020,112.764,112,"4/21/20<br>Daily count: 9,928"
2020-04-21T04:00:00Z,Long Island,3256,1011,848,2020,111.442,112,"4/21/20<br>Daily count: 3,256"
2020-04-21T04:00:00Z,Lower Hudson Valley,1652,488,414,2020,77.28,112,"4/21/20<br>Daily count: 1,652"
2020-04-22T04:00:00Z,New York City,9606,2848,2483,2020,109.107,113,"4/22/20<br>Daily count: 9,606"
2020-04-22T04:00:00Z,Long Island,3118,990,826,2020,106.719,113,"4/22/20<br>Daily count: 3,118"
2020-04-22T04:00:00Z,Lower Hudson Valley,1584,480,412,2020,74.099,113,"4/22/20<br>Daily count: 1,584"
