as_of_date,region_orig,covid_hosp,yearid,covid_hosp_pop,date_num,Date
2020-05-01,Lower Hudson Valley,1187,2020,55.528,122,"5/1/20<br>Daily count: 1,187"
2020-05-01,New York City,6497,2020,73.794,122,"5/1/20<br>Daily count: 6,497"
2020-05-02,Long Island,1902,2020,65.099,123,"5/2/20<br>Daily count: 1,902"
2020-05-02,Lower Hudson Valley,1136,2020,53.142,123,"5/2/20<br>Daily count: 1,136"
2020-05-02,New York City,6109,2020,69.387,123,"5/2/20<br>Daily count: 6,109"
2020-05-03,Long Island,1846,2020,63.183,124,"5/3/20<br>Daily count: 1,846"
2020-05-03,Lower Hudson Valley,1121,2020,52.44,124,"5/3/20<br>Daily count: 1,121"
2020-05-03,New York City,6021,2020,68.388,124,"5/3/20<br>Daily count: 6,021"
2020-05-04,Long Island,1849,2020,63.285,125,"5/4/20<br>Daily count: 1,849"
2020-05-04,Lower Hudson Valley,1121,2020,52.44,125,"5/4/20<br>Daily count: 1,121"
2020-05-04,New York City,5954,2020,67.627,125,"5/4/20<br>Daily count: 5,954"
2020-05-05,Long Island,1747,2020,59.794,126,"5/5/20<br>Daily count: 1,747"
2020-05-05,Lower Hudson Valley,1055,2020,49.353,126,"5/5/20<br>Daily count: 1,055"
2020-05-05,New York City,5739,2020,65.185,126,"5/5/20<br>Daily count: 5,739"
2020-05-06,Long Island,1632,2020,55.858,127,"5/6/20<br>Daily count: 1,632"
2020-05-06,Lower Hudson Valley,997,2020,46.639,127,5/6/20<br>Daily count: 997
2020-05-06,New York City,5427,2020,61.641,127,"5/6/20<br>Daily count: 5,427"
2020-05-07,Long Island,1570,2020,53.736,128,"5/7/20<br>Daily count: 1,570"
2020-05-07,Lower Hudson Valley,939,2020,43.926,128,5/7/20<br>Daily count: 939
2020-05-07,New York City,5100,2020,57.927,128,"5/7/20<br>Daily count: 5,100"
2020-05-08,Long Island,1476,2020,50.519,129,"5/8/20<br>Daily count: 1,476"
2020-05-08,Lower Hudson Valley,893,2020,41.774,129,5/8/20<br>Daily count: 893
2020-05-08,New York City,4826,2020,54.815,129,"5/8/20<br>Daily count: 4,826"
2020-05-09,Long Island,1339,2020,45.83,130,"5/9/20<br>Daily count: 1,339"
2020-05-09,Lower Hudson Valley,829,2020,38.78,130,5/9/20<br>Daily count: 829
2020-05-09,New York City,4533,2020,51.487,130,"5/9/20<br>Daily count: 4,533"
2020-05-10,Long Island,1296,2020,44.358,131,"5/10/20<br>Daily count: 1,296"
2020-05-10,Lower Hudson Valley,829,2020,38.78,131,5/10/20<br>Daily count: 829
2020-05-10,New York City,4527,2020,51.419,131,"5/10/20<br>Daily count: 4,527"
2020-05-11,Long Island,1282,2020,43.879,132,"5/11/20<br>Daily count: 1,282"
2020-05-11,Lower Hudson Valley,819,2020,38.313,132,5/11/20<br>Daily count: 819
2020-05-11,New York City,4365,2020,49.579,132,"5/11/20<br>Daily count: 4,365"
2020-05-12,Long Island,1287,2020,44.05,133,"5/12/20<br>Daily count: 1,287"
2020-05-12,Lower Hudson Valley,786,2020,36.769,133,5/12/20<br>Daily count: 786
2020-05-12,New York City,4263,2020,48.42,133,"5/12/20<br>Daily count: 4,263"
2020-05-13,Long Island,1231,2020,42.133,134,"5/13/20<br>Daily count: 1,231"
2020-05-13,Lower Hudson Valley,768,2020,35.927,134,5/13/20<br>Daily count: 768
2020-05-13,New York City,4086,2020,46.41,134,"5/13/20<br>Daily count: 4,086"
2020-05-14,Long Island,1189,2020,40.696,135,"5/14/20<br>Daily count: 1,189"
2020-05-14,Lower Hudson Valley,772,2020,36.114,135,5/14/20<br>Daily count: 772
2020-05-14,New York City,3820,2020,43.388,135,"5/14/20<br>Daily count: 3,820"
2020-05-15,Long Island,1160,2020,39.703,136,"5/15/20<br>Daily count: 1,160"
2020-05-15,Lower Hudson Valley,759,2020,35.506,136,5/15/20<br>Daily count: 759
2020-05-15,New York City,3685,2020,41.855,136,"5/15/20<br>Daily count: 3,685"
2020-05-16,Long Island,1129,2020,38.642,137,"5/16/20<br>Daily count: 1,129"
2020-05-16,Lower Hudson Valley,724,2020,33.869,137,5/16/20<br>Daily count: 724
2020-05-16,New York City,3420,2020,38.845,137,"5/16/20<br>Daily count: 3,420"
2020-05-17,Long Island,1099,2020,37.615,138,"5/17/20<br>Daily count: 1,099"
2020-05-17,Lower Hudson Valley,709,2020,33.167,138,5/17/20<br>Daily count: 709
2020-05-17,New York City,3385,2020,38.448,138,"5/17/20<br>Daily count: 3,385"
2020-05-18,Long Island,1104,2020,37.786,139,"5/18/20<br>Daily count: 1,104"
2020-05-18,Lower Hudson Valley,705,2020,32.98,139,5/18/20<br>Daily count: 705
2020-05-18,New York City,3337,2020,37.902,139,"5/18/20<br>Daily count: 3,337"
2020-05-19,Long Island,1017,2020,34.809,140,"5/19/20<br>Daily count: 1,017"
2020-05-19,Lower Hudson Valley,674,2020,31.53,140,5/19/20<br>Daily count: 674
2020-05-19,New York City,3204,2020,36.392,140,"5/19/20<br>Daily count: 3,204"
2020-05-20,Long Island,956,2020,32.721,141,5/20/20<br>Daily count: 956
2020-05-20,Lower Hudson Valley,647,2020,30.267,141,5/20/20<br>Daily count: 647
2020-05-20,New York City,2924,2020,33.211,141,"5/20/20<br>Daily count: 2,924"
2020-05-21,Long Island,890,2020,30.462,142,5/21/20<br>Daily count: 890
2020-05-21,Lower Hudson Valley,589,2020,27.553,142,5/21/20<br>Daily count: 589
2020-05-21,New York City,2730,2020,31.008,142,"5/21/20<br>Daily count: 2,730"
2020-05-22,Long Island,834,2020,28.545,143,5/22/20<br>Daily count: 834
2020-05-22,Lower Hudson Valley,562,2020,26.29,143,5/22/20<br>Daily count: 562
2020-05-22,New York City,2593,2020,29.452,143,"5/22/20<br>Daily count: 2,593"
2020-05-23,Long Island,767,2020,26.252,144,5/23/20<br>Daily count: 767
2020-05-23,Lower Hudson Valley,535,2020,25.027,144,5/23/20<br>Daily count: 535
2020-05-23,New York City,2460,2020,27.941,144,"5/23/20<br>Daily count: 2,460"
2020-05-24,Long Island,745,2020,25.499,145,5/24/20<br>Daily count: 745
2020-05-24,Lower Hudson Valley,515,2020,24.092,145,5/24/20<br>Daily count: 515
2020-05-24,New York City,2453,2020,27.862,145,"5/24/20<br>Daily count: 2,453"
2020-05-25,Long Island,712,2020,24.369,146,5/25/20<br>Daily count: 712
2020-05-25,Lower Hudson Valley,488,2020,22.829,146,5/25/20<br>Daily count: 488
2020-05-25,New York City,2416,2020,27.441,146,"5/25/20<br>Daily count: 2,416"
2020-05-26,Long Island,690,2020,23.616,147,5/26/20<br>Daily count: 690
2020-05-26,Lower Hudson Valley,480,2020,22.454,147,5/26/20<br>Daily count: 480
2020-05-26,New York City,2368,2020,26.896,147,"5/26/20<br>Daily count: 2,368"
2020-05-27,Long Island,668,2020,22.863,148,5/27/20<br>Daily count: 668
2020-05-27,Lower Hudson Valley,466,2020,21.799,148,5/27/20<br>Daily count: 466
2020-05-27,New York City,2236,2020,25.397,148,"5/27/20<br>Daily count: 2,236"
2020-05-28,Long Island,629,2020,21.529,149,5/28/20<br>Daily count: 629
2020-05-28,Lower Hudson Valley,444,2020,20.77,149,5/28/20<br>Daily count: 444
2020-05-28,New York City,2084,2020,23.671,149,"5/28/20<br>Daily count: 2,084"
2020-05-29,Long Island,586,2020,20.057,150,5/29/20<br>Daily count: 586
2020-05-29,Lower Hudson Valley,411,2020,19.226,150,5/29/20<br>Daily count: 411
2020-05-29,New York City,1995,2020,22.66,150,"5/29/20<br>Daily count: 1,995"
2020-05-30,Long Island,553,2020,18.927,151,5/30/20<br>Daily count: 553
2020-05-30,Lower Hudson Valley,393,2020,18.384,151,5/30/20<br>Daily count: 393
2020-05-30,New York City,1888,2020,21.444,151,"5/30/20<br>Daily count: 1,888"
2020-05-31,Long Island,545,2020,18.654,152,5/31/20<br>Daily count: 545
2020-05-31,Lower Hudson Valley,378,2020,17.683,152,5/31/20<br>Daily count: 378
2020-05-31,New York City,1803,2020,20.479,152,"5/31/20<br>Daily count: 1,803"
2020-06-01,Long Island,472,2020,16.155,153,6/1/20<br>Daily count: 472
2020-06-01,Lower Hudson Valley,360,2020,16.841,153,6/1/20<br>Daily count: 360
2020-06-01,New York City,1699,2020,19.298,153,"6/1/20<br>Daily count: 1,699"
2020-06-02,Long Island,435,2020,14.889,154,6/2/20<br>Daily count: 435
2020-06-02,Lower Hudson Valley,346,2020,16.186,154,6/2/20<br>Daily count: 346
2020-06-02,New York City,1623,2020,18.434,154,"6/2/20<br>Daily count: 1,623"
2020-06-03,Long Island,414,2020,14.17,155,6/3/20<br>Daily count: 414
2020-06-03,Lower Hudson Valley,332,2020,15.531,155,6/3/20<br>Daily count: 332
2020-06-03,New York City,1532,2020,17.401,155,"6/3/20<br>Daily count: 1,532"
2020-06-04,Long Island,382,2020,13.075,156,6/4/20<br>Daily count: 382
2020-06-04,Lower Hudson Valley,308,2020,14.408,156,6/4/20<br>Daily count: 308
2020-06-04,New York City,1483,2020,16.844,156,"6/4/20<br>Daily count: 1,483"
2020-06-05,Long Island,348,2020,11.911,157,6/5/20<br>Daily count: 348
2020-06-05,Lower Hudson Valley,288,2020,13.473,157,6/5/20<br>Daily count: 288
2020-06-05,New York City,1425,2020,16.185,157,"6/5/20<br>Daily count: 1,425"
2020-06-06,Long Island,311,2020,10.645,158,6/6/20<br>Daily count: 311
2020-06-06,Lower Hudson Valley,271,2020,12.677,158,6/6/20<br>Daily count: 271
2020-06-06,New York City,1335,2020,15.163,158,"6/6/20<br>Daily count: 1,335"
2020-06-07,Long Island,303,2020,10.371,159,6/7/20<br>Daily count: 303
2020-06-07,Lower Hudson Valley,261,2020,12.21,159,6/7/20<br>Daily count: 261
2020-06-07,New York City,1298,2020,14.743,159,"6/7/20<br>Daily count: 1,298"
2020-06-08,Long Island,299,2020,10.234,160,6/8/20<br>Daily count: 299
2020-06-08,Lower Hudson Valley,255,2020,11.929,160,6/8/20<br>Daily count: 255
2020-06-08,New York City,1280,2020,14.539,160,"6/8/20<br>Daily count: 1,280"
2020-06-09,Long Island,285,2020,9.755,161,6/9/20<br>Daily count: 285
2020-06-09,Lower Hudson Valley,237,2020,11.087,161,6/9/20<br>Daily count: 237
2020-06-09,New York City,1190,2020,13.516,161,"6/9/20<br>Daily count: 1,190"
2020-06-10,Long Island,257,2020,8.796,162,6/10/20<br>Daily count: 257
2020-06-10,Lower Hudson Valley,223,2020,10.432,162,6/10/20<br>Daily count: 223
2020-06-10,New York City,1113,2020,12.642,162,"6/10/20<br>Daily count: 1,113"
2020-06-11,Long Island,244,2020,8.351,163,6/11/20<br>Daily count: 244
2020-06-11,Lower Hudson Valley,196,2020,9.169,163,6/11/20<br>Daily count: 196
2020-06-11,New York City,1036,2020,11.767,163,"6/11/20<br>Daily count: 1,036"
2020-06-12,Long Island,233,2020,7.975,164,6/12/20<br>Daily count: 233
2020-06-12,Lower Hudson Valley,176,2020,8.233,164,6/12/20<br>Daily count: 176
2020-06-12,New York City,933,2020,10.597,164,6/12/20<br>Daily count: 933
2020-06-13,Long Island,230,2020,7.872,165,6/13/20<br>Daily count: 230
2020-06-13,Lower Hudson Valley,177,2020,8.28,165,6/13/20<br>Daily count: 177
2020-06-13,New York City,865,2020,9.825,165,6/13/20<br>Daily count: 865
2020-06-14,Long Island,229,2020,7.838,166,6/14/20<br>Daily count: 229
2020-06-14,Lower Hudson Valley,165,2020,7.719,166,6/14/20<br>Daily count: 165
2020-06-14,New York City,839,2020,9.53,166,6/14/20<br>Daily count: 839
2020-06-15,Long Island,227,2020,7.769,167,6/15/20<br>Daily count: 227
2020-06-15,Lower Hudson Valley,157,2020,7.344,167,6/15/20<br>Daily count: 157
2020-06-15,New York City,789,2020,8.962,167,6/15/20<br>Daily count: 789
2020-06-16,Long Island,221,2020,7.564,168,6/16/20<br>Daily count: 221
2020-06-16,Lower Hudson Valley,144,2020,6.736,168,6/16/20<br>Daily count: 144
2020-06-16,New York City,761,2020,8.644,168,6/16/20<br>Daily count: 761
2020-06-17,Long Island,198,2020,6.777,169,6/17/20<br>Daily count: 198
2020-06-17,Lower Hudson Valley,130,2020,6.081,169,6/17/20<br>Daily count: 130
2020-06-17,New York City,720,2020,8.178,169,6/17/20<br>Daily count: 720
2020-06-18,Long Island,187,2020,6.4,170,6/18/20<br>Daily count: 187
2020-06-18,Lower Hudson Valley,126,2020,5.894,170,6/18/20<br>Daily count: 126
2020-06-18,New York City,680,2020,7.724,170,6/18/20<br>Daily count: 680
2020-06-19,Long Island,174,2020,5.955,171,6/19/20<br>Daily count: 174
2020-06-19,Lower Hudson Valley,125,2020,5.847,171,6/19/20<br>Daily count: 125
2020-06-19,New York City,649,2020,7.371,171,6/19/20<br>Daily count: 649
2020-06-20,Long Island,160,2020,5.476,172,6/20/20<br>Daily count: 160
2020-06-20,Lower Hudson Valley,123,2020,5.754,172,6/20/20<br>Daily count: 123
